id,max5,max4,max3,max2,max1,no_rag
2301,1.47,1.47,1.47,1.47,1.45,1.41
2308,1.79,1.79,1.8,1.8,1.79,1.84
2317,1.76,1.76,1.76,1.77,1.79,1.8
2330,2.73,2.73,1.65,1.7,1.72,1.63
2345,2.1,2.1,2.1,2.1,2.1,2.09
2356,1.6,1.6,1.6,1.6,1.6,1.58
2368,2.28,2.28,2.28,2.28,2.28,2.28
2376,1.76,1.76,1.77,1.77,1.76,1.71
2382,1.79,1.79,1.8,1.78,1.8,1.75
2385,1.59,1.59,1.59,1.59,1.58,1.54
2454,1.6,1.6,1.6,1.61,1.62,1.61
3017,2.39,2.39,2.38,2.39,2.38,2.35
3035,2.35,2.35,2.35,2.36,2.36,2.16
3231,2.12,2.12,2.12,2.12,2.11,2.03
3443,2.42,2.42,2.42,2.42,2.42,2.45
3533,2.71,2.71,2.71,2.71,2.8,2.38
3661,2.46,2.46,2.46,2.46,2.46,2.51
3711,2.26,2.26,2.26,2.25,2.27,2.3
6213,2.13,2.13,2.16,2.13,2.12,2.04
6669,2.21,2.21,2.21,2.21,2.21,2.37
