id,NP加入量價,NP加入三大法人與持股比例,之前LLM+NP最優,LLM no RAG,LLM with RAG,LLM預測的值結合NP
2301,1.38,1.41,1.41,2.57,2.59,1.41
2308,1.76,1.84,1.68,2.66,2.67,1.71
2317,1.76,1.8,1.72,2.39,2.37,1.82
2330,1.63,1.63,3.04,2.94,2.9,3.28
2345,2.11,2.09,6.41,3.42,3.45,7.08
2356,1.59,1.58,1.56,2.47,2.54,1.68
2368,2.3,2.28,2.27,2.57,2.67,2.28
2376,1.72,1.71,1.7,2.39,2.49,1.68
2382,1.85,1.75,1.69,2.39,2.47,1.73
2385,1.48,1.54,1.63,1.74,1.81,1.58
2454,1.67,1.61,1.46,1.72,1.84,1.51
3017,2.49,2.35,2.45,2.82,2.89,2.23
3035,2.17,2.16,2.16,2.91,2.75,2.17
3231,2.01,2.03,1.91,2.55,2.65,3.13
3443,2.32,2.45,2.35,2.22,2.52,2.42
3533,2.26,2.38,2.49,2.98,3.06,2.52
3661,2.59,2.51,3.29,2.12,2.09,6.48
3711,1.88,2.3,2.23,2.41,2.44,2.15
6213,1.91,2.04,2.21,2.42,2.39,2.14
6669,2.29,2.37,2.27,2.08,2.11,2.43
